               AR1sum    AR2sum    AR1max    AR2max    AR1xCe    AR2xCe    AR1yCe    AR2yCe
Sample_259   1.097191 -0.208620  0.571050  0.059628 -0.009566  0.017234  0.011902  0.016071
Sample_260   0.391641  0.363282  0.463705  0.032485  0.096104 -0.022214  0.033649  0.030275
Sample_261   0.363255  0.401328  0.064380  0.472899 -0.000857 -0.050976  0.023334  0.168335
Sample_262   0.531557  0.141146  0.195373  0.330031 -0.045758 -0.003239  0.055160  0.038459
Sample_263   0.972592 -0.168220  0.510641 -0.087615  0.032892 -0.019402  0.097109  0.073516
Sample_264   1.029519 -0.108510  0.237678  0.255525  0.024830 -0.021890  0.048064  0.073142
Sample_265   0.754173  0.156103  0.322270  0.139368 -0.009576 -0.051198  0.009549  0.220103
Sample_266   0.823185 -0.039948  0.261802  0.159181 -0.007338 -0.009600  0.082864 -0.006669
Sample_267   1.012693 -0.126191  0.441226  0.172710 -0.021070 -0.044536  0.064515  0.133286
Sample_268   0.201696  0.632037  0.247043 -0.156518 -0.012795 -0.020515  0.075672  0.149692
Sample_269   0.198821  0.465640  0.220856  0.144486 -0.018977 -0.114178  0.013472  0.162533
Sample_270   0.443769  0.283151  0.447907  0.104003 -0.000006  0.002720  0.145306  0.028081
Sample_271   0.736751  0.137875  0.449329  0.122637 -0.003534 -0.022522 -0.017025  0.000968
Sample_272   0.557850  0.263101  0.365221  0.276220 -0.030186 -0.049192  0.075214  0.209290
Sample_273   0.677025  0.096096  0.190191  0.264693 -0.011729 -0.008996  0.025954  0.001587
Sample_274   0.443299  0.328861 -0.183371 -0.054071 -0.012860 -0.013800  0.326595 -0.003224
Sample_275   0.548197  0.244133  0.066809  0.186027  0.004331 -0.018547  0.098026  0.002493
Sample_276   0.668069  0.093064  0.780697 -0.147526 -0.024558 -0.005189 -0.007178 -0.037193
Sample_277   0.629134  0.149600  0.446977  0.170308 -0.002748 -0.002747 -0.003593 -0.018560
Sample_278   0.215744  0.433883  0.187625  0.082949 -0.022833 -0.014363  0.033217 -0.009654
Sample_279   0.441890  0.386514  0.377831  0.204988 -0.032581 -0.015074  0.015352 -0.021555
Sample_280   0.362167  0.387581  0.157620  0.166884 -0.000747 -0.033313  0.118730  0.083294
Sample_281   0.932267 -0.108128  0.105443  0.113488 -0.005743 -0.107381  0.042967  0.289696
